Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,G/NBA,MP/NBA,PPG/NBA,RPG/NBA,APG/NBA,SPG/NBA,BPG/NBA,FG%/NBA,2P%/NBA,3P%/NBA,FT%/NBA,NBA WS,NBA WS/48,NBA PER,G/C,GS/C,MPG/C,FGM/C,FGA/C,FG%/C,2PM/C,2PA/C,2P%/C,3PM/C,3PA/C,3P%/C,FTM/C,FTA/C,FT%/C,ORPG/C,DRPG/C,RPG/C,APG/C,SPG/C,BPG/C,TOPG/C,FPG/C,PPG/C,EFG%/C,YRS/C,WS/C,WSPY/C,PER/C,SOS,BF%,Hand Length (Inches),Hand Width (Inches),Height (No Shoes),Height (Shoes),Standing Reach,Weight (lbs),Wingspan
2012,2,58,MIN,Robbie Hummel,23.118,F,us,Purdue University,98,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066,9.6,127,120,30.2,4.6,10.4,0.443,2.9,6,0.483,1.7,4.4,0.389,3.1,3.7,0.841,1.9,4.9,6.8,2.1,1,0.9,1.1,2.4,14,52.5,4,22.2,5.55,13.6,7.48,0.09,8.5,9.5,6.73,6.85,8.6,218,6.8
2013,2,58,SAS,Deshaun Thomas,21.308,F,us,Ohio State University,,,,,,,,,,,,,,0,113,77,27,5.4,11.2,0.478,4.1,7.5,0.545,1.3,3.7,0.342,2.4,3,0.802,2,3,5,0.9,0.4,0.2,1.1,1.4,14.4,53.5,3,16.6,5.53,24.1,8.93,0.09,8,8.75,6.5,6.7,8.8,219.8,6.1
2010,1,11,NOH,Cole Aldrich,21.241,C,us,University of Kansas,328,10.3,3.2,3.4,0.6,0.4,0.7,0.53,0.53,,0.746,9.6,0.137,16.8,111,71,21,3.5,6.1,0.574,3.5,6.1,0.574,0,0,,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,57.4,3,16.5,5.50,,8.12,0.09,9,9.25,6.9,6.1125,9.35,236,7.4
2014,1,2,MIL,Jabari Parker,19.108,F,us,Duke University,152,32.1,15.8,5.6,2.1,1,0.4,0.491,0.511,0.341,0.748,9,0.088,16.3,35,35,30.7,6.7,14.3,0.473,5.7,11.2,0.504,1.1,3,0.358,4.6,6.1,0.748,3,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,51.1,1,5.5,5.50,28.4,8.48,,,,,,,,
2008,1,17,TOR,Roy Hibbert,21.203,C,us,Georgetown University,662,24.8,10,6.3,1.3,0.4,1.7,0.465,0.466,0.25,0.755,35.9,0.105,15.5,136,121,23.3,4.2,7,0.603,4.2,7,0.602,0,0,1,2.4,3.5,0.68,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,60.5,4,22,5.50,,7.54,,,,,,,,
2016,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,95,14,4.7,3.7,0.3,0.3,0.7,0.63,0.63,0.5,0.53,4.4,0.158,15.4,70,70,26.9,5.1,7.7,0.658,5.1,7.7,0.659,0,0,0,3.1,5.2,0.605,2.8,5.2,8,1.3,0.5,1.7,1.8,2.4,13.3,65.8,2,11,5.50,28.4,8.1,0.06,9.25,10.25,7.03,7.1,9.35,239,7.2
2011,1,4,CLE,Tristan Thompson,20.107,F-C,ca,University of Texas at Austin,488,28.3,9.2,8.5,0.8,0.5,0.8,0.516,0.518,0,0.61,35.9,0.125,15.2,128,99,25.5,3.6,8.2,0.439,2.2,4.6,0.472,1.4,3.6,0.396,4.1,5,0.816,0.6,2.1,2.8,1.3,0.6,0.1,1.7,1.8,12.7,54.6,1,5.5,5.50,24.2,-3.82,0.06,8.75,9.25,6.75,6.875,9.05,227.4,7.1
2014,1,6,BOS,Marcus Smart,20.117,G,us,Oklahoma State University,249,28.7,9.3,3.8,3.8,1.5,0.4,0.356,0.415,0.291,0.755,10.2,0.068,11.2,64,63,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.751,1.5,4.4,5.9,4.5,2.9,0.6,3,2.9,16.6,47,2,11,5.50,25.4,7.53,0.11,9,8.75,6.2,6.325,8.3,227.2,6.9
2014,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,155,12.2,4,1.2,1.9,0.5,0.1,0.411,0.449,0.314,0.788,0.7,0.017,9.9,34,34,35.7,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2,12.9,45.3,1,5.5,5.50,21.3,7.25,0.06,8.25,8.75,6.1,6.25,8.2,181.5,6.7
2015,1,10,MIA,Justise Winslow,19.095,F,us,Duke University,124,28.1,7.1,5.2,1.9,0.9,0.3,0.405,0.438,0.29,0.663,3.3,0.046,8.9,39,39,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,55.1,1,5.5,5.50,22.3,9.87,0.05,8.5,9.25,6.45,6.65,8.85,221.8,6.1
